Price      ,Close              ,Close              ,Close              ,Close              ,Close              ,High               ,High               ,High               ,High               ,High               ,Low                ,Low                ,Low                ,Low                ,Low                ,Open               ,Open               ,Open               ,Open               ,Open               ,Volume   ,Volume   ,Volume  ,Volume  ,Volume
Ticker     ,VOO                ,VTI                ,VTV                ,VUG                ,VYM                ,VOO                ,VTI                ,VTV                ,VUG                ,VYM                ,VOO                ,VTI                ,VTV                ,VUG                ,VYM                ,VOO                ,VTI                ,VTV                ,VUG                ,VYM                ,VOO      ,VTI      ,VTV     ,VUG     ,VYM
Date       ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,         ,         ,        ,        ,
2015-01-02 ,157.63287353515625 ,89.16783142089844  ,65.30994415283203  ,94.92405700683594  ,50.21632385253906  ,158.73731384484321 ,89.84130704862234  ,65.7040716160643   ,95.67980896009074  ,50.530495735657695 ,156.6790445253881  ,88.62063327621522  ,64.8926275187759   ,94.32309561358136  ,49.924070030569496 ,158.37752940447598 ,89.64768071826136  ,65.61906824058305  ,95.44306596151579  ,50.464735977932484 ,1865000  ,5298300  ,1549200 ,613100  ,673500
2015-01-05 ,154.86338806152344 ,87.63568878173828  ,64.10438537597656  ,93.26687622070312  ,49.31035232543945  ,156.8045204925824  ,88.85636266992721  ,65.00084498452607  ,94.45968477076434  ,50.00445607291037  ,154.50361646969975 ,87.4336486433533   ,63.97300950453343  ,93.06655574273194  ,49.215372171782924 ,156.67900897664137 ,88.68799053565623  ,64.98538553138344  ,94.19562659042855  ,49.99714819208147  ,2734700  ,5383500  ,1427700 ,891400  ,1154700
2015-01-06 ,153.34060668945312 ,86.77699279785156  ,63.54022979736328  ,92.38363647460938  ,48.98886489868164  ,155.52437417851894 ,87.97240576535896  ,64.42895954847967  ,93.60376697436561  ,49.63181888222771  ,152.57921360610914 ,86.29714356876823  ,63.23110563662024  ,91.81909765270572  ,48.75506294336686  ,155.09765291996416 ,87.88822292955707  ,64.25894096526834  ,93.50360674875549  ,49.44916093044184  ,2245300  ,4226100  ,1303900 ,1265000 ,1061700
2015-01-07 ,155.2566680908203  ,87.81248474121094  ,64.25120544433594  ,93.5400161743164   ,49.544151306152344 ,155.5495155911342  ,87.93034203729971  ,64.36712773116493  ,93.64927680739123  ,49.62452126750381  ,154.14386546330877 ,87.17268982608358  ,63.802975746491775 ,92.89352500981936  ,49.17883532702005  ,154.56221173980566 ,87.62727858371689  ,64.15846643566225  ,93.11206016974229  ,49.41263733069354  ,2305600  ,3661500  ,1463700 ,779600  ,833100
2015-01-08 ,157.98426818847656 ,89.36145782470703  ,65.43359375        ,95.18810272216797  ,50.472049713134766 ,158.17670386950766 ,89.43722046094996  ,65.50314947408864  ,95.26094778095603  ,50.53780390421201  ,156.52005645981632 ,88.4859420770422   ,64.79989198944024  ,94.28666769704904  ,49.960604071770874 ,156.57025596209286 ,88.57012492489197  ,64.79989198944024  ,94.35950580894993  ,50.09211802820403  ,1740600  ,2796200  ,799100  ,913700  ,1002400
2015-01-09 ,156.6539306640625  ,88.62062072753906  ,64.83855438232422  ,94.47787475585938  ,50.08481979370117  ,158.4193523211572  ,89.52981076940318  ,65.62681548611991  ,95.4157322507092   ,50.55972607704364  ,156.16864748988942 ,88.32597759065865  ,64.6608060522237   ,94.05902611480444  ,49.887546055879085 ,158.38589023914125 ,89.50455656091896  ,65.58817864639626  ,95.4157322507092   ,50.55972607704364  ,2525200  ,3272500  ,802200  ,783500  ,992000
2015-01-12 ,155.4908905029297  ,87.9892578125      ,64.39806365966797  ,93.64017486572266  ,49.75603103637695  ,156.9634770889373  ,88.85635982506868  ,64.99312296302011  ,94.62356230170607  ,50.22363500419072  ,154.94704562681343 ,87.65252640021933  ,64.15848927598594  ,93.36701632031863  ,49.587988821779604 ,156.84634068022407 ,88.85635982506868  ,64.98539323553243  ,94.62356230170607  ,50.15788080916018  ,1847500  ,3705900  ,1156000 ,968600  ,872700
2015-01-13 ,155.08091735839844 ,87.78723907470703  ,64.14302062988281  ,93.55824279785156  ,49.66105270385742  ,157.6411936620105  ,89.23520762225395  ,65.23268200321887  ,95.0970618610345   ,50.45743882436422  ,153.86770335331394 ,87.07167501511462  ,63.67933732261236  ,92.8207055885807   ,49.29573674231577  ,156.64552781795894 ,88.67117530421277  ,64.85400209410105  ,94.45967793661461  ,50.16519051455425  ,2158500  ,2936200  ,2442400 ,872300  ,1293800
2015-01-14 ,154.16891479492188 ,87.30738067626953  ,63.71025466918945  ,93.10297393798828  ,49.43455123901367  ,154.28605120335288 ,87.37472953732777  ,63.76435096045517  ,93.23955670722606  ,49.4564693015616   ,152.37003150110735 ,86.28875323804203  ,62.929717412881104 ,92.11958633574217  ,48.85004355776984  ,153.19836145374094 ,86.7433484160738   ,63.45522676919956  ,92.49291210853288  ,49.17152333988178  ,5216300  ,3291600  ,2158300 ,1229400 ,1113400
2015-01-15 ,152.72982788085938 ,86.42343139648438  ,63.2542839050293   ,92.03764343261719  ,49.0838508605957   ,154.99726994390426 ,87.77037619903673  ,64.03482102244914  ,93.64019333298496  ,49.67566091095081  ,152.61269145338665 ,86.34766233926047  ,63.18473406980058  ,91.97390573143083  ,49.0034809063155   ,154.6876978356363  ,87.59359029583355  ,63.988454465629985 ,93.4398798056053   ,49.61721459588437  ,1940700  ,5615200  ,1578900 ,750300  ,868700
2015-01-16 ,154.62074279785156 ,87.5683364868164   ,64.08116149902344  ,93.16670227050781  ,49.61720275878906  ,154.8550156253539  ,87.64410554994588  ,64.15844102762104  ,93.28507028693959  ,49.66103887820072  ,152.35330100041853 ,86.221391579281    ,63.09196938245397  ,91.84641851002166  ,48.97424327793728  ,152.53737433158628 ,86.38134349486768  ,63.22334517067489  ,91.9738938959905   ,48.98885903392627  ,1472800  ,2768900  ,1486500 ,724600  ,665600
2015-01-20 ,155.00563049316406 ,87.69462585449219  ,64.09664154052734  ,93.59466552734375  ,49.7779541015625   ,155.5411131221676  ,87.99768930257795  ,64.37485264972494  ,93.78587862100272  ,49.87293982518654  ,153.5999933796222  ,86.87803858730223  ,63.57885615082227  ,92.64770048239832  ,49.31035008677811  ,155.3068402699106  ,87.90508622551059  ,64.20483409454286  ,93.503612665633    ,49.8144879297686   ,1637600  ,3186900  ,1361700 ,573500  ,759600
2015-01-21 ,155.8172607421875  ,88.09028625488281  ,64.43668365478516  ,94.08634185791016  ,49.97521209716797  ,156.24398214289954 ,88.35125504152388  ,64.54487622710225  ,94.42323807841325  ,50.092110276864716 ,154.2024501376021  ,87.21477040159041  ,63.75661521507015  ,93.1484843572338   ,49.44915635283813  ,154.59569668453642 ,87.49257961347693  ,64.01164309098314  ,93.42164289167793  ,49.67565040831656  ,1586500  ,3119400  ,742000  ,552900  ,646100
2015-01-22 ,158.20172119140625 ,89.42881774902344  ,65.38724517822266  ,95.55232238769531  ,50.64009475708008  ,158.26028299124488 ,89.49616018200075  ,65.39497490436956  ,95.67979776888978  ,50.64740263681353  ,155.29003667424968 ,87.77880289764153  ,64.2357636165808   ,93.84960558618722  ,49.79987253893902  ,156.53669955426767 ,88.59539011068267  ,64.8308228167155   ,94.55982755195284  ,50.238250560203696 ,6074900  ,3583500  ,832700  ,1198800 ,1001100
2015-01-23 ,157.3316192626953  ,89.02474975585938  ,64.84626007080078  ,95.3884506225586   ,50.223628997802734 ,158.15158693382585 ,89.47092477900657  ,65.30221352447643  ,95.807299410845    ,50.52319071519369  ,157.12244618132945 ,88.9658211004011   ,64.81534707284881  ,95.21544529485082  ,50.19440305652471  ,157.9005766828045  ,89.327813247571    ,65.30221352447643  ,95.39755104736172  ,50.52319071519369  ,3109800  ,4571900  ,1022800 ,911300  ,790700
2015-01-26 ,157.64120483398438 ,89.39513397216797  ,65.00082397460938  ,95.73443603515625  ,50.340545654296875 ,157.72486640677076 ,89.42038818473591  ,65.01627752670319  ,95.798173731043    ,50.35515584153815  ,156.40289099439275 ,88.56170642098755  ,64.46758503856806  ,95.03332138040209  ,49.92408563942363  ,157.12244690829695 ,89.0247217271989   ,64.78443886898447  ,95.32469469686832  ,50.1871136040046   ,2018000  ,4106500  ,1813000 ,835700  ,566400
