Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,AAPL,AMZN,GOOGL,META,MSFT,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,24.451839447021484,14.66349983215332,25.205127716064453,75.98973083496094,39.54452133178711,0.47378310561180115,24.60549738776521,14.795499801635742,25.321207766794675,76.90622813891456,39.785438842050894,0.47522318592961366,24.16233612262507,14.324999809265137,24.818032674594495,75.74068215886295,39.25198121963195,0.4656227267751973,24.282591271265595,14.596500396728516,24.930623482149525,76.12919748554683,39.54452133178711,0.46682278416949935,195826400,110774000,52800000,25918600,29719600,155260000
2015-01-15,23.788209915161133,14.34749984741211,25.10947608947754,73.7682113647461,39.131526947021484,0.4704229235649109,24.50973911875799,14.800000190734863,25.395438196600566,76.27861835114743,39.905898853722675,0.4800233820501954,23.75257970337788,14.340999603271484,25.009836910143765,73.26015000307909,39.071298385634776,0.4701829006581295,24.49637800171715,14.699999809265137,25.3525942427029,76.10926709737892,39.76823310166585,0.4771432502269347,240056000,88384000,51068000,34134000,32750800,188932000
2015-01-16,23.603370666503906,14.536999702453613,25.430810928344727,74.89391326904297,39.78543472290039,0.4790632426738739,23.95745552127747,14.53950023651123,25.450239323119213,75.03337991048333,39.819848693194885,0.479543259770632,23.427441948588125,14.262499809265137,25.063640303398515,73.5590085005055,38.864791270563195,0.4682627006329228,23.83497296480989,14.314000129699707,25.06662972577749,73.75825198853597,38.98525165432842,0.4697027805348141,314053200,69564000,49658000,21791500,35695300,181512000
2015-01-20,24.211326599121094,14.472000122070312,25.404905319213867,75.94987487792969,39.91449737548828,0.4805034101009369,24.267000178791985,14.668000221252441,25.68738199442222,76.01960819655979,40.13820625069271,0.485063587656598,23.716944939799923,14.319499969482422,25.37650865568038,74.53528035694089,39.208960059308325,0.47450309515782524,24.01535451130495,14.629500389099121,25.545894696643845,75.43185702530059,39.83706019287291,0.48242347883771586,199599600,61502000,46796000,22821600,36161900,140308000
2015-01-21,24.396163940429688,14.862500190734863,25.925518035888672,76.44796752929688,39.51011276245117,0.48722365498542786,24.732431147291503,15.300000190734863,25.998254313548514,77.00584164474272,39.69940443023124,0.4884237407330063,24.111113777752077,14.36299991607666,25.387467609061847,75.5613549890969,39.13153270910195,0.47450304362193424,24.262545986446522,14.482000350952148,25.449741858437584,75.87018046739979,39.52732139426853,0.47786322076959203,194303600,201302000,46356000,25096700,39081100,144780000
2015-01-22,25.030841827392578,15.515999794006348,26.767963409423828,77.3545150756836,40.55121994018555,0.49562427401542664,25.04643036178159,15.612500190734863,26.84468495099309,77.45413301930164,40.55982261632255,0.4970643545766434,24.43402098374896,15.0,26.001244013606097,76.38820506182861,39.647787964074794,0.4831436521158944,24.55427612004538,15.0,26.05554583692189,76.87633830581034,39.90591091693337,0.4881838768568932,215185600,107252000,56068000,19519500,35898000,159712000
2015-01-23,25.160003662109375,15.619500160217285,26.999622344970703,77.53382873535156,40.59422302246094,0.49706411361694336,25.331477531676878,15.846500396728516,27.171997794941227,77.89245940489991,40.77490868618401,0.49802414778460946,24.837095896138095,15.38599967956543,26.69074261234894,76.74683407719613,40.26726566747866,0.4920238340960399,25.008571464728334,15.404000282287598,26.804331158018144,77.35451340057739,40.749097386283594,0.496104022226045,185859200,89928000,45966000,16746500,26211600,120416000
2015-01-26,25.186729431152344,15.482999801635742,26.73906898498535,77.205078125,40.44794845581055,0.49490422010421753,25.467324774353628,15.649999618530273,26.977206037830662,78.17138806081587,40.551200212492326,0.4973043352323885,25.119922148786404,15.37600040435791,26.50740869744148,76.99587818018851,39.78543440258985,0.4917840647152695,25.32925367236059,15.590999603271484,26.977206037830662,77.68325485625574,40.43934578385865,0.49490422010421753,222460000,63394000,30932000,19260800,42525500,133240000
2015-01-27,24.304861068725586,15.337499618530273,25.96537208557129,75.49163055419922,36.70517349243164,0.47114303708076477,25.048661076493936,15.51200008392334,26.542779112719522,76.58744316644776,37.16979673109547,0.48770384771513586,24.28036455445931,15.131500244140625,25.948931212727185,75.34219983426485,36.231947578478966,0.47018297391567837,25.03529826024312,15.3149995803833,26.474028099425308,76.4180918973578,36.95469374455234,0.4872238018267788,382274800,58406000,39148000,20110000,169164000,357948000
2015-01-28,25.67888069152832,15.195500373840332,25.528953552246094,75.94987487792969,35.44035720825195,0.4634625315666199,26.304652866471436,15.575499534606934,26.189558861140792,77.34454885089346,36.81701791571248,0.47882328090378923,25.67888069152832,15.1899995803833,25.524968289366452,75.710790299821,35.4145459072192,0.4632225086818123,26.1955314297915,15.490500450134277,26.155183355672524,76.6073669681807,36.77399798658782,0.47690318366019047,585908400,61276000,35822000,53306400,84507100,272728000
