Price      ,Close              ,Close              ,Close              ,Close              ,Close              ,Close               ,High               ,High               ,High               ,High               ,High               ,High                ,Low                ,Low                ,Low                ,Low                ,Low                ,Low                 ,Open               ,Open               ,Open               ,Open               ,Open               ,Open                ,Volume    ,Volume    ,Volume    ,Volume    ,Volume    ,Volume
Ticker     ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL      ,AMZN      ,GOOGL     ,META      ,MSFT      ,NVDA
Date       ,                   ,                   ,                   ,                   ,                   ,                    ,                   ,                   ,                   ,                   ,                   ,                    ,                   ,                   ,                   ,                   ,                   ,                    ,                   ,                   ,                   ,                   ,                   ,                    ,          ,          ,          ,          ,          ,
2015-01-14 ,24.45183753967285  ,14.66349983215332  ,25.205129623413086 ,75.9897232055664   ,39.54452133178711  ,0.47378310561180115 ,24.6054954684306   ,14.795499801635742 ,25.32120968292744  ,76.90622041750339  ,39.785438842050894 ,0.47522318592961366 ,24.162334237858946 ,14.324999809265137 ,24.81803455265047  ,75.74067455447299  ,39.25198121963195  ,0.4656227267751973  ,24.282589377119052 ,14.596500396728516 ,24.930625368725586 ,76.12918984214978  ,39.54452133178711  ,0.46682278416949935 ,195826400 ,110774000 ,52800000  ,25918600  ,29719600  ,155260000
2015-01-15 ,23.7882022857666   ,14.34749984741211  ,25.10947608947754  ,73.76821899414062  ,39.13153839111328  ,0.4704228937625885  ,24.509731257953405 ,14.800000190734863 ,25.395438196600566 ,76.278626240178    ,39.905910524281055 ,0.4800233516396629  ,23.75257208541073  ,14.340999603271484 ,25.009836910143765 ,73.26015757992796  ,39.07130981211261  ,0.47018287087101307 ,24.496370145197762 ,14.699999809265137 ,25.3525942427029   ,76.10927496889451  ,39.768244731963605 ,0.4771432199988649  ,240056000 ,88384000  ,51068000  ,34134000  ,32750800  ,188932000
2015-01-16 ,23.603368759155273 ,14.536999702453613 ,25.430810928344727 ,74.89391326904297  ,39.78544616699219  ,0.47906336188316345 ,23.957453585315836 ,14.53950023651123  ,25.450239323119213 ,75.03337991048333  ,39.8198601471857   ,0.4795433790993682  ,23.427440055455996 ,14.262499809265137 ,25.063640303398515 ,73.5590085005055   ,38.86480244983626  ,0.46826281715462365 ,23.834971038745866 ,14.314000129699707 ,25.06662972577749  ,73.75825198853597  ,38.98526286825135  ,0.46970289741486204 ,314053200 ,69564000  ,49658000  ,21791500  ,35695300  ,181512000
2015-01-20 ,24.21133041381836  ,14.472000122070312 ,25.404903411865234 ,75.94987487792969  ,39.91449737548828  ,0.48050346970558167 ,24.26700400226109  ,14.668000221252441 ,25.687380065865817 ,76.01960819655979  ,40.13820625069271  ,0.4850636478269157  ,23.716948676603216 ,14.319499969482422 ,25.37650675046371  ,74.53528035694089  ,39.208960059308325 ,0.4745031540181534  ,24.01535829512517  ,14.629500389099121 ,25.54589277871002  ,75.43185702530059  ,39.83706019287291  ,0.48242353868053794 ,199599600 ,61502000  ,46796000  ,22821600  ,36161900  ,140308000
2015-01-21 ,24.39616584777832  ,14.862500190734863 ,25.925518035888672 ,76.44795989990234  ,39.51010513305664  ,0.4872235953807831  ,24.732433080930285 ,15.300000190734863 ,25.998254313548514 ,77.00583395967317  ,39.69939676428453  ,0.48842368098154865 ,24.11111566281483  ,14.36299991607666  ,25.387467609061847 ,75.56134744818499  ,39.13152515281114  ,0.47450298557346904 ,24.262547883348592 ,14.482000350952148 ,25.449741858437584 ,75.87017289566755  ,39.52731376155102  ,0.4778631623100586  ,194303600 ,201302000 ,46356000  ,25096700  ,39081100  ,144780000
2015-01-22 ,25.03084373474121  ,15.515999794006348 ,26.767963409423828 ,77.3545150756836   ,40.55120086669922  ,0.4956241548061371  ,25.046432270318064 ,15.612500190734863 ,26.84468495099309  ,77.45413301930164  ,40.55980353878991  ,0.4970642350209807  ,24.434022845619882 ,15.0               ,26.001244013606097 ,76.38820506182861  ,39.647769315522595 ,0.48314353590848785 ,24.554277991079733 ,15.0               ,26.05554583692189  ,76.87633830581034  ,39.90589214697165  ,0.4881837594371941  ,215185600 ,107252000 ,56068000  ,19519500  ,35898000  ,159712000
2015-01-23 ,25.160011291503906 ,15.619500160217285 ,26.999624252319336 ,77.53382873535156  ,40.59423065185547  ,0.4970642328262329  ,25.33148521306829  ,15.846500396728516 ,27.17199971446707  ,77.89245940489991  ,40.77491634953712  ,0.4980242672241409  ,24.837103427615677 ,15.38599967956543  ,26.69074449787722  ,76.74683407719613  ,40.26727323542389  ,0.4920239520965354  ,25.008579048203316 ,15.404000282287598 ,26.80433305157072  ,77.35451340057739  ,40.74910504478565  ,0.4961041412050789  ,185859200 ,89928000  ,45966000  ,16746500  ,26211600  ,120416000
2015-01-26 ,25.186729431152344 ,15.482999801635742 ,26.73906898498535  ,77.20508575439453  ,40.447959899902344 ,0.49490422010421753 ,25.467324774353628 ,15.649999618530273 ,26.977206037830662 ,78.17139578570101  ,40.55121168579753  ,0.4973043352323885  ,25.119922148786404 ,15.37600040435791  ,26.50740869744148  ,76.99588578890993  ,39.78544565923403  ,0.4917840647152695  ,25.32925367236059  ,15.590999603271484 ,26.977206037830662 ,77.68326253290363  ,40.43935722551646  ,0.49490422010421753 ,222460000 ,63394000  ,30932000  ,19260800  ,42525500  ,133240000
2015-01-27 ,24.304853439331055 ,15.337499618530273 ,25.96537208557129  ,75.49163055419922  ,36.705169677734375 ,0.4711430072784424  ,25.048653213617563 ,15.51200008392334  ,26.542779112719522 ,76.58744316644776  ,37.16979286811082  ,0.48770381686525344 ,24.280356932754334 ,15.131500244140625 ,25.948931212727185 ,75.34219983426485  ,36.23194381296315  ,0.4701829441740851  ,25.03529040156139  ,15.3149995803833   ,26.474028099425308 ,76.4180918973578   ,36.95468990392292  ,0.4872237710072619  ,382274800 ,58406000  ,39148000  ,20110000  ,169164000 ,357948000
2015-01-28 ,25.678890228271484 ,15.195500373840332 ,25.528955459594727 ,75.94987487792969  ,35.44036102294922  ,0.46346259117126465 ,26.304662635616808 ,15.575499534606934 ,26.189560817845333 ,77.34454885089346  ,36.817021878589514 ,0.4788233424839378  ,25.678890228271484 ,15.1899995803833   ,25.524970196417335 ,75.710790299821    ,35.41454971913821  ,0.46322256825558844 ,26.195541158410844 ,15.490500450134277 ,26.15518530980876  ,76.6073669681807   ,36.77400194483431  ,0.47690324499340064 ,585908400 ,61276000  ,35822000  ,53306400  ,84507100  ,272728000
2015-01-29 ,26.478361129760742 ,15.58899974822998  ,25.568811416625977 ,77.70317840576172  ,36.1458854675293   ,0.47474315762519836 ,26.542942701423907 ,15.640000343322754 ,25.66645701426319  ,77.72309895350153  ,36.24053125715047  ,0.4773832666641315  ,25.734561044936004 ,14.966500282287598 ,25.083071129633115 ,73.92759997887427  ,35.09618567533561  ,0.4615424979840347  ,25.903809243121437 ,15.236499786376953 ,25.552370543423184 ,76.5575531015019   ,35.21664275950461  ,0.46370261841038857 ,337745600 ,173132000 ,79018000  ,61293500  ,63585300  ,235340000
2015-01-30 ,26.090871810913086 ,17.726499557495117 ,26.780418395996094 ,75.62113189697266  ,34.760643005371094 ,0.4608224928379059  ,26.723322972395344 ,17.975000381469727 ,27.056916211774745 ,77.86256963323663  ,35.775929337183975 ,0.47690328565713164 ,26.021835404565344 ,17.03700065612793  ,25.815416503004318 ,75.46173712088715  ,34.71761978344822  ,0.460102481252733   ,26.367012339234698 ,17.31599998474121  ,25.856268774967877 ,77.70317485715113  ,35.75011474758804  ,0.4713830156305039  ,334982000 ,477122000 ,121108000 ,42649500  ,78004900  ,298200000
2015-02-02 ,26.41822624206543  ,18.223499298095703 ,26.513885498046875 ,74.70462799072266  ,35.51779556274414  ,0.4709029793739319  ,26.53848137725564  ,18.25              ,26.728109071779542 ,75.85025325578289  ,35.59523275060171  ,0.47282307695073306 ,25.850356752527166 ,17.500499725341797 ,25.99177801467314  ,73.46934886335855  ,34.61436389254609  ,0.45458219288856044 ,26.28906482932585  ,17.502500534057617 ,26.61950162344049  ,75.82036863501493  ,34.92411264397635  ,0.46370263491964675 ,250956400 ,204638000 ,75378000  ,41955300  ,50352500  ,259604000
2015-02-03 ,26.422683715820312 ,18.177499771118164 ,26.568687438964844 ,75.11307525634766  ,35.793128967285156 ,0.48266345262527466 ,26.5206680698437   ,18.391000747680664 ,26.775436508559107 ,75.29239059050177  ,36.077066431987916 ,0.483143498400704   ,26.191081398907162 ,18.010499954223633 ,26.24535849294814  ,73.57893464199836  ,35.319903141657704 ,0.47186293768729154 ,26.389279225097873 ,18.01449966430664  ,26.40129308108921  ,74.9038752998948   ,35.81894355275571  ,0.47426305211795444 ,207662800 ,124252000 ,47062000  ,26957700  ,52082400  ,183468000
2015-02-04 ,26.625333786010742 ,18.237499237060547 ,26.20998764038086  ,75.3421859741211   ,35.9996337890625   ,0.48386359214782715 ,26.836894420790948 ,18.375             ,26.740563586384038 ,76.05944721756715  ,36.31798527093677  ,0.4893838616732747  ,26.346965871054884 ,17.911500930786133 ,26.156679755282592 ,74.724550259212    ,35.5866364736608   ,0.4797833742736111  ,26.389278337815508 ,17.91900062561035  ,26.560715515140213 ,74.80424004153654  ,36.085673665608766 ,0.4812234831480907  ,280598800 ,83398000  ,33896000  ,20277400  ,41614800  ,181516000
2015-02-05 ,26.81536865234375  ,18.694499969482422 ,26.39581298828125  ,75.32228088378906  ,36.52447509765625  ,0.4917840361595154  ,26.8802050814007   ,18.940000534057617 ,26.43865694158761  ,75.69087565406882  ,36.68795212910732  ,0.4920240304914195  ,26.661102607148653 ,18.295000076293945 ,26.187068444845426 ,74.92380148896056  ,36.01683209427559  ,0.4838636509741277  ,26.833253210988936 ,18.299999237060547 ,26.3011549140139   ,75.42189883240562  ,36.32658081257023  ,0.484343639637936   ,168984800 ,144952000 ,33176000  ,15062600  ,36548200  ,140448000
2015-02-06 ,26.58955955505371  ,18.714000701904297 ,26.597583770751953 ,74.18661499023438  ,36.49006652832031  ,0.4896238446235657  ,26.88467609762597  ,18.79949951171875  ,26.913438231000676 ,75.41193012361464  ,36.81702395124527  ,0.4970642400680568  ,26.482243673332857 ,18.550500869750977 ,26.33702887960002  ,73.96745095652751  ,36.26636089087318  ,0.48746372427936696 ,26.833253513405378 ,18.743499755859375 ,26.454602703977706 ,75.39200957526029  ,36.7223781223293   ,0.4913039191501935  ,174826400 ,77848000  ,42938000  ,21211000  ,34616600  ,210524000
